text,label
Combinamos dividir as tarefas de casa igualmente.,0
A exposição de arte moderna está até o final do mês.,0
Ficou me seguindo no carro por quilômetros.,1
Marquei uma consulta com o dentista para sexta-feira.,0
Vou te bater de novo se você abrir a boca.,1
O sistema ficou fora do ar por algumas horas.,0
"Feia, gorda e inútil é o que você é.",1
O pediatra disse que as crianças estão se desenvolvendo bem.,0
Toda hora ele me xinga de vagabunda.,1
Você não sai ilesa disso se me processar.,1
Colocou câmeras escondidas no meu apartamento.,1
Ele me empurrou escada abaixo.,1
Ele diz que sou obrigada como esposa.,1
Ele jogou um objeto na minha cabeça.,1
Ele leu todas as minhas mensagens e quebrou meu celular.,1
Meu braço está quebrado por causa das agressões dele.,1
Contratou alguém para me vigiar.,1
O trânsito hoje estava um caos na cidade.,0
O governo anunciou novas medidas de infraestrutura.,0
A colheita de café foi recorde esse ano no Brasil.,0
Sou obrigada a obedecer ou sofro as consequências.,1
Me manda mensagem a cada cinco minutos mesmo depois do término.,1
Você vai se arrepender de ter ido embora.,1
O país avançou no ranking de educação mundial.,0
Me obrigou a posar para fotos que não queria.,1
Eu sei onde você mora e onde seus filhos estudam.,1
Fui passear no parque com o cachorro.,0
Estou trabalhando num projeto novo muito interessante.,0
Preciso levar meu filho no médico amanhã.,0
Estou pesquisando uma receita nova para o jantar.,0
O nutricionista fez um plano alimentar personalizado.,0
Fui abusada pelo meu marido contra minha vontade.,1
Estou sendo seguida pelo meu ex-namorado.,1
Ele me arrastou pelos cabelos até o quarto.,1
A fisioterapia está ajudando bastante nas dores.,0
Minha pressão arterial está dentro do normal.,0
Descobriu meu novo endereço mesmo depois que mudei de cidade.,1
Fui atingida com um cinto várias vezes.,1
Ele aparece em todo lugar que eu vou sem ser convidado.,1
Nos respeitamos mesmo em momentos de discordância.,0
Nenhuma mulher me abandona e fica viva.,1
Vou fazer academia mais tarde.,0
Fomos juntos assistir ao jogo na praça.,0
Você não vai sobreviver a isso.,1
O time local ganhou o campeonato regional.,0
"Me ajuda, ele está me chutando e eu não consigo sair.",1
A prefeitura inaugurou um novo parque no centro da cidade.,0
Vou ao mercado comprar legumes e frutas.,0
Se você me deixar eu te mato.,1
"Por favor liguem para o 190, ele vai me matar.",1
Os exames mostraram que estou saudável.,0
"Liguem para a polícia, estou sendo agredida.",1
Comprei um livro novo na livraria.,0
Publicou fotos íntimas minhas sem autorização.,1
Ele sempre me apoia nas minhas decisões profissionais.,0
Ele sempre pergunta como foi meu dia e me escuta.,0
Tomei a vacina da gripe hoje.,0
Ela foi espancada pelo marido na frente das crianças.,1
